PMID,Author,Title,Journal,Year,Abstract,DOI
39285427,"['Zhang, Jing-Wen', 'Fan, Jie', 'Zhao, Fang-Bing', ""Ma, Bing'er"", 'Shen, Xiao-Qing', 'Geng, Yuan-Ming']",Diagnostic accuracy of artificial intelligence-assisted caries detection: a clinical evaluation.,BMC oral health,2024 Sep 16,"OBJECTIVE: This clinical study aimed to evaluate the practical value of integrating an AI diagnostic model into clinical practice for caries detection using intraoral images. METHODS: In this prospective study, 4,361 teeth from 191 consecutive patients visiting an endodontics clinic were examined using an intraoral camera. The AI model, combining MobileNet-v3 and U-net architectures, was used for caries detection. The diagnostic performance of the AI model was assessed using sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and accuracy, with the clinical diagnosis by endodontic specialists as the reference standard. RESULTS: The overall accuracy of the AI-assisted caries detection was 93.40%. The sensitivity and specificity were 81.31% (95% CI 78.22%-84.06%) and 95.65% (95% CI 94.94%-96.26%), respectively. The NPV and PPV were 96.49% (95% CI 95.84%-97.04%) and 77.68% (95% CI 74.49%-80.58%), respectively. The diagnostic accuracy varied depending on tooth position and caries type, with the highest accuracy in anterior teeth (96.04%) and the lowest sensitivity for interproximal caries in anterior teeth and buccal caries in premolars (approximately 10%). CONCLUSION: The AI-assisted caries detection tool demonstrated potential for clinical application, with high overall accuracy and specificity. However, the sensitivity varied considerably depending on tooth position and caries type, suggesting the need for further improvement. Integration of multimodal data and development of more advanced AI models may enhance the performance of AI-assisted caries detection in clinical practice.",https://doi.org/10.1186/s12903-024-04847-w
39281043,"['Ma, Tian', 'Dang, Zhenrui', 'Yang, Yizhou', 'Yang, Jiayi', 'Li, Jiahui']",Dental panoramic X-ray image segmentation for multi-feature coordinate position learning.,Digital health,2024 Jan-Dec,"OBJECTIVE: To achieve an accurate assessment of orthodontic and restorative treatments, tooth segmentation of dental panoramic X-ray images is a critical preliminary step, however, dental panoramic X-ray images suffer from poorly defined interdental boundaries and low root-to-alveolar bone contrast, which pose significant challenges to tooth segmentation. In this article, we propose a multi-feature coordinate position learning-based tooth image segmentation method for tooth segmentation. METHODS: For better analysis, the input image is randomly flipped horizontally and vertically to enhance the data. Our method extracts multi-scale tooth features from the designed residual omni-dimensional dynamic convolution and the designed two-stream coordinate attention module can further complement the tooth boundary features, and finally the two features are fused to enhance the local details of the features and global contextual information, which achieves the enrichment and optimization of the feature information. RESULTS: The publicly available adult dental datasets Archive and Dataset and Code were used in the study. The experimental results were 87.96% and 92.04% for IoU, 97.79% and 97.32% for ACC, and 86.42% and 95.64% for Dice. CONCLUSION: The experimental results show that the proposed network can be used to assist doctors in quickly viewing tooth positions, and we also validate the effectiveness of the proposed two modules in fusing features.",https://doi.org/10.1177/20552076241277154
39275850,"['Dziedzic, Arkadiusz', 'Issa, Julien', 'Chaurasia, Akhilanand', 'Tanasiewicz, Marta']",Artificial intelligence and health-related data: The patient's best interest and data ownership dilemma.,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",2024 Sep 14,"The rapid advancement of artificial intelligence (AI) in healthcare has the potential to revolutionize the global healthcare sector and medicine in general. However, integrating AI technologies in healthcare requires access to large amounts of personal health-related data (HRD), which raises concerns regarding confidential personal information considering unregulated and not transparent data ownership. Setting up the patient's welfare as an unquestionable principle, this commentary explores the various ethical aspects of using HRD in AI applications, focusing on informed consent, data ownership, data sharing, financial considerations, accountability, and ethical standards. Three models of potential collaboration between AI-specializing firms and healthcare providers are evaluated: the commercial model, the equitable profit-sharing model, and the public-funded non-profit model. Each model has its advantages and challenges, necessitating a careful balance between ethical considerations, financial implications, and technological advancements. Policymakers and healthcare regulators are urged to establish transparent legislation to safeguard patient privacy, ensure informed consent, and promote the responsible use of HRD in AI applications. This commentary emphasizes the importance of addressing ethical issues to protect basic patient rights, foster responsible collaborations, and ensure the ethical use of health-related data in AI-based healthcare applications. While the coexistence of regulated AI and healthcare professionals is inevitable for validating the cost-effectiveness of AI use in healthcare economics, the transparency of HRD sources is deemed of utmost importance in the best interest of the patient.",https://doi.org/10.1177/09544119241279630
39274428,"['Schwarzmaier, Julia', 'Frenkel, Elisabeth', 'Neumayr, Julia', 'Ammar, Nour', 'Kessler, Andreas', 'Schwendicke, Falk', 'Kühnisch, Jan', 'Dujic, Helena']",Validation of an Artificial Intelligence-Based Model for Early Childhood Caries Detection in Dental Photographs.,Journal of clinical medicine,2024 Sep 3,"Background/Objectives: Early childhood caries (ECC) is a widespread and severe oral health problem that potentially affects the general health of children. Visual-tactile examination remains the diagnostic method of choice to diagnose ECC, although visual examination could be automated by artificial intelligence (AI) tools in the future. The aim of this study was the external validation of a recently published and freely accessible AI-based model for detecting ECC and classifying carious lesions in dental photographs. Methods: A total of 143 anonymised photographs of anterior deciduous teeth (ECC = 107, controls = 36) were visually evaluated by the dental study group (reference test) and analysed using the AI-based model (test method). Diagnostic performance was determined statistically. Results: ECC detection accuracy was 97.2%. Diagnostic performance varied between carious lesion classes (noncavitated lesions, greyish translucency/microcavity, cavitation, destructed tooth), with accuracies ranging from 88.9% to 98.1%, sensitivities ranging from 68.8% to 98.5% and specificities ranging from 86.1% to 99.4%. The area under the curve ranged from 0.834 to 0.964. Conclusions: The performance of the AI-based model is similar to that reported for the internal dataset used by developers. Further studies with independent image samples are required to comprehensively gauge the performance of the model.",https://doi.org/10.3390/jcm13175215
39272733,"['Hao, Jing', 'Wong, Lun M', 'Shan, Zhiyi', 'Ai, Qi Yong H', 'Shi, Xieqi', 'Tsoi, James Kit Hon', 'Hung, Kuo Feng']",A Semi-Supervised Transformer-Based Deep Learning Framework for Automated Tooth Segmentation and Identification on Panoramic Radiographs.,"Diagnostics (Basel, Switzerland)",2024 Sep 3,"Automated tooth segmentation and identification on dental radiographs are crucial steps in establishing digital dental workflows. While deep learning networks have been developed for these tasks, their performance has been inferior in partially edentulous individuals. This study proposes a novel semi-supervised Transformer-based framework (SemiTNet), specifically designed to improve tooth segmentation and identification performance on panoramic radiographs, particularly in partially edentulous cases, and establish an open-source dataset to serve as a unified benchmark. A total of 16,317 panoramic radiographs (1589 labeled and 14,728 unlabeled images) were collected from various datasets to create a large-scale dataset (TSI15k). The labeled images were divided into training and test sets at a 7:1 ratio, while the unlabeled images were used for semi-supervised learning. The SemiTNet was developed using a semi-supervised learning method with a label-guided teacher-student knowledge distillation strategy, incorporating a Transformer-based architecture. The performance of SemiTNet was evaluated on the test set using the intersection over union (IoU), Dice coefficient, precision, recall, and F1 score, and compared with five state-of-the-art networks. Paired t-tests were performed to compare the evaluation metrics between SemiTNet and the other networks. SemiTNet outperformed other networks, achieving the highest accuracy for tooth segmentation and identification, while requiring minimal model size. SemiTNet's performance was near-perfect for fully dentate individuals (all metrics over 99.69%) and excellent for partially edentulous individuals (all metrics over 93%). In edentulous cases, SemiTNet obtained statistically significantly higher tooth identification performance than all other networks. The proposed SemiTNet outperformed previous high-complexity, state-of-the-art networks, particularly in partially edentulous cases. The established open-source TSI15k dataset could serve as a unified benchmark for future studies.",https://doi.org/10.3390/diagnostics14171948
39266401,"['Lu, Wei', 'Yu, Xueqian', 'Li, Yueyang', 'Cao, Yi', 'Chen, Yanning', 'Hua, Fang']",Artificial Intelligence-Related Dental Research: Bibliometric and Altmetric Analysis.,International dental journal,2024 Sep 11,"BACKGROUND: Recent years have witnessed an explosive surge in dental research related to artificial intelligence (AI). These applications have optimised dental workflows, demonstrating significant clinical importance. Understanding the current landscape and trends of this topic is crucial for both clinicians and researchers to utilise and advance this technology. However, a comprehensive scientometric study regarding this field had yet to be performed. METHODS: A literature search was conducted in the Web of Science Core Collection database to identify eligible ""research articles"" and ""reviews."" Literature screening and exclusion were performed by 2 investigators. Thereafter, VOSviewer was utilised in co-occurrence analysis and CiteSpace in co-citation analysis. R package Bibliometrix was employed to automatically calculate scientific impacts, determining the core authors and journals. Altmetric data were described narratively and supplemented with Spearman correlation analysis. RESULTS: A total of 1558 research publications were included. During the past 5 years, AI-related dental publications drastically increased in number, from 36 to 581. Diagnostics and Scientific Reports published the most articles, whereas Journal of Dental Research received the highest number of citations per article. China, the US, and South Korea emerged as the most prolific countries, whilst Germany received the highest number of citations per article (23.29). Charité Universitätsmedizin Berlin was the institution with the highest number of publications and citations per article (29.16). Altmetric Attention Score was correlated with News Mentions (P < .001), and significant associations were observed amongst Dimension Citations, Mendeley Readers, and Web of Science Citations (P < .001). CONCLUSIONS: The publication numbers regarding AI-related dental research have been rising rapidly and may continue their upwards trend. China, the US, South Korea, and Germany had promoted the progress of AI-related dental research. Disease diagnosis, orthodontic applications, and morphology segmentation were current hotspots. Attention mechanism, explainable AI, multimodal data fusion, and AI-generated text assistants necessitate future research and exploration.",https://doi.org/10.1016/j.identj.2024.08.004
39254786,"['Veseli, E']",Artificial intelligence progress in the diagnosis of oral mucosal lesions: implications for pediatric dental health.,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,2024 Sep 10,,https://doi.org/10.1007/s40368-024-00944-0
39245622,"['Dashti, Mahmood', 'Ghasemi, Shohreh', 'Khurshid, Zohaib']",Integrating Artificial Intelligence in Dental Education: An Urgent Call for Dedicated Postgraduate Programs.,International dental journal,2024 Sep 7,,https://doi.org/10.1016/j.identj.2024.08.008
39242442,"['Li, Zheng', 'Li, Zhongqiang', 'Zhang, Ya', 'Wang, Huaizhi', 'Li, Xin', 'Zhang, Jian', 'Zaid, Waleed', 'Yao, Shaomian', 'Xu, Jian']",Human Tooth Crack Image Analysis with Multiple Deep Learning Approaches.,Annals of biomedical engineering,2024 Sep 6,"Tooth cracks, one of the most common dental diseases, can result in the tooth falling apart without prompt treatment; dentists also have difficulty locating cracks, even with X-ray imaging. Indocyanine green (ICG) assisted near-infrared fluorescence (NIRF) dental imaging technique can solve this problem due to the deep penetration of NIR light and the excellent fluorescence characteristics of ICG. This study extracted 593 human cracked tooth images and 601 non-cracked tooth images from NIR imaging videos. Multiple imaging analysis methods such as classification, object detection, and super-resolution were applied to the dataset for cracked image analysis. Our results showed that machine learning methods could help analyze tooth crack efficiently: the tooth images with cracks and without cracks could be well classified with the pre-trained residual network and squeezenet1_1 models, with a classification accuracy of 88.2% and 94.25%, respectively; the single shot multi-box detector (SSD) was able to recognize cracks, even if the input image was at a different size from the original cracked image; the super-resolution (SR) model, SR-generative adversarial network demonstrated enhanced resolution of crack images using high-resolution concrete crack images as the training dataset. Overall, deep learning model-assisted human crack analysis improves crack identification; the combination of our NIR dental imaging system and deep learning models has the potential to assist dentists in crack diagnosis.",https://doi.org/10.1007/s10439-024-03615-9
39242274,"['Farook, Taseef Hasan', 'Ramees, Lameesa', 'Dudley, James']","Relationship between anterior occlusion, arch dimension, and mandibular movement during speech articulation: A three-dimensional analysis.",The Journal of prosthetic dentistry,2024 Sep 5,"STATEMENT OF PROBLEM: Studies correlating occlusal morphology from 3-dimensional intraoral scans with both soft and hard tissue dynamic landmark tracking within the same participant population are lacking. PURPOSE: The purpose of this clinical study was to use 3-dimensional intraoral scanning, computer-aided design, electrognathography, and artificial intelligence to investigate the relationships between anterior occlusion and arch parameters with hard and soft tissue displacements during speech production. MATERIAL AND METHODS: An artificial intelligence (AI) driven software program and electrognathography was used to record the phonetic activities in 62 participants for soft tissue (ST) and hard tissue (HT) displacement. Soft tissue displacement was quantified by the mean difference between subnasale and soft tissue pogonion peaks during phonetic expressions, and hard tissue displacement was directly measured with an electrognathograph. Intercanine and intermolar distances, arch perimeters, and horizontal and vertical overlap were measured from the intraoral scan data. RESULTS: ST and HT displacements were successfully estimated for fricative (ST=7.16 ±4.51 mm, HT=11.86 ±4.02 mm), sibilant (ST=5.11 ±3.49 mm, HT=8.24 ±3.31 mm), linguodental (ST=5.72 ±4.46 mm, HT=10.01 ±3.16 mm), and bilabial (ST=5.56 ±4.64 mm, HT=11.69 ±4.28 mm) phonetics. Vertical overlap correlated positively with hard tissue movement during all speech expressions except bilabial phonetics (ρ=.30 to.41, P<.05). Maxillary and mandibular arch perimeters showed negative correlations with soft tissue displacement during linguodental and bilabial speech (ρ=-.25 to -.41, P<.05) but were significantly correlated with hard tissue movement during all speech assessments (ρ=-.28 to -.44, P<.05). Maxillary intermolar distances negatively correlated with hard tissue phonetic expressions (ρ=-.24 to -.30, P<.05). Participant age positively correlated with soft tissue displacement during all speech patterns (ρ=.28 to.33, P<.05) and with weight increase (ρ=.27, P=.033), and hard tissue displacement (ρ=.25, P=.048) during maximum mouth opening significantly correlated with linguodental phonetics. CONCLUSIONS: Within the study population, vertical overlap, maxillary intermolar distance, and dental arch perimeters correlated significantly with mandibular displacement during phonetic expression.",https://doi.org/10.1016/j.prosdent.2024.08.001
